Model,Time_s,RMSE,R2,SampleFrac,Partitions,Speedup_vsFullDefault
DT,67.19731831550598,19.968329219443383,0.7662317237381673,0.25,default,1.0374474170699635
DT,70.60856556892395,20.97657068998479,0.7420288749005128,0.5,default,0.9873261658658029
DT,69.71368432044983,16.16255072286627,0.8468482655600836,1.0,default,1.0
LR,5.121915102005005,1.0959009695821509,0.9992958831454571,0.25,default,1.0897873556832656
LR,3.6138417720794678,1.0901072151528408,0.9993033084451182,0.5,default,1.5445607934949386
LR,5.581798315048218,1.0915909976374465,0.9993014105726142,1.0,default,1.0
RF,261.5307538509369,19.03771972398628,0.7875131905814085,0.25,default,1.0661562527924568
RF,238.92735838890076,19.688853875950404,0.7727295407813948,0.5,default,1.1670185046864616
RF,280.07549715042114,16.004290128574674,0.8498328462202129,1.0,4,0.9955624513841268
RF,269.9280343055725,16.00429012857467,0.8498328462202129,1.0,8,1.0329888454640777
RF,278.8326485157013,16.004290128574674,0.8498328462202129,1.0,default,1.0
